ISTASYON_NO,SOKET_GUCU,SOKET_NO,SOKET_TIPI,SOKET_TURU
,22,SKT/37930,AC,AC_TYPE2
,120,SKT/37931,DC,DC_CCS
,120,SKT/37932,DC,DC_CCS
,60,SKT/37933,DC,DC_CCS
,60,SKT/37934,DC,DC_CCS
,22,SKT/37414,AC,AC_TYPE2
,22,SKT/37935,AC,AC_TYPE2
,22,SKT/25419,AC,AC_TYPE2
,22,SKT/25420,AC,AC_TYPE2
,22,SKT/25421,AC,AC_TYPE2
,22,SKT/25422,AC,AC_TYPE2
,22,SKT/25423,AC,AC_TYPE2
,22,SKT/25424,AC,AC_TYPE2
,22,SKT/25425,AC,AC_TYPE2
,22,SKT/25426,AC,AC_TYPE2
,22,SKT/25427,AC,AC_TYPE2
,22,SKT/34845,AC,AC_TYPE2
,120,SKT/34851,DC,DC_CCS
,120,SKT/34852,DC,DC_CCS
,80,SKT/34853,DC,DC_CCS
,80,SKT/34854,DC,DC_CCS
,120,SKT/34855,DC,DC_CCS
,120,SKT/34856,DC,DC_CCS
,22,SKT/34870,AC,AC_TYPE2
,22,SKT/34871,AC,AC_TYPE2
,22,SKT/34872,AC,AC_TYPE2
,22,SKT/34873,AC,AC_TYPE2
,18,SKT/34874,AC,AC_TYPE2
,22,SKT/34875,AC,AC_TYPE2
,22,SKT/34876,AC,AC_TYPE2
,11,SKT/34877,AC,AC_TYPE2
,11,SKT/34878,AC,AC_TYPE2
,22,SKT/34879,AC,AC_TYPE2
,22,SKT/34880,AC,AC_TYPE2
,22,SKT/34881,AC,AC_TYPE2
,22,SKT/34882,AC,AC_TYPE2
,22,SKT/34883,AC,AC_TYPE2
,22,SKT/34884,AC,AC_TYPE2
,22,SKT/34885,AC,AC_TYPE2
,11,SKT/34886,AC,AC_TYPE2
,22,SKT/34887,AC,AC_TYPE2
,22,SKT/34888,AC,AC_TYPE2
,22,SKT/34889,AC,AC_TYPE2
,22,SKT/34890,AC,AC_TYPE2
,22,SKT/34891,AC,AC_TYPE2
,22,SKT/34892,AC,AC_TYPE2
,22,SKT/34893,AC,AC_TYPE2
,22,SKT/34894,AC,AC_TYPE2
,60,SKT/34895,DC,DC_CCS
,60,SKT/34896,DC,DC_CCS
,22,SKT/34897,AC,AC_TYPE2
,22,SKT/34898,AC,AC_TYPE2
,22,SKT/34907,AC,AC_TYPE2
,60,SKT/34908,DC,DC_CCS
,60,SKT/34909,DC,DC_CCS
,22,SKT/34914,AC,AC_TYPE2
,180,SKT/34928,DC,DC_CCS
,180,SKT/34929,DC,DC_CCS
,180,SKT/34930,DC,DC_CCS
,180,SKT/34931,DC,DC_CCS
,3.4,SKT/34949,AC,AC_TYPE2
,3.4,SKT/34950,AC,AC_TYPE2
,22,SKT/34951,AC,AC_TYPE2
,3.4,SKT/34953,AC,AC_TYPE2
,3.4,SKT/34954,AC,AC_TYPE2
,3.4,SKT/34956,AC,AC_TYPE2
,3.4,SKT/34957,AC,AC_TYPE2
,22,SKT/34965,AC,AC_TYPE2
,22,SKT/27625,AC,AC_TYPE2
,22,SKT/27626,AC,AC_TYPE2
,22,SKT/27627,AC,AC_TYPE2
,22,SKT/27628,AC,AC_TYPE2
,22,SKT/27629,AC,AC_TYPE2
,22,SKT/27630,AC,AC_TYPE2
,22,SKT/27631,AC,AC_TYPE2
,22,SKT/27632,AC,AC_TYPE2
,22,SKT/27633,AC,AC_TYPE2
,120,SKT/28355,DC,DC_CCS
,120,SKT/28357,DC,DC_CCS
,22,SKT/28592,AC,AC_TYPE2
,22,SKT/34972,AC,AC_TYPE2
,22,SKT/34973,AC,AC_TYPE2
,22,SKT/34974,AC,AC_TYPE2
,180,SKT/34976,DC,DC_CCS
,180,SKT/34977,DC,DC_CCS
,180,SKT/34978,DC,DC_CCS
,180,SKT/34979,DC,DC_CCS
